0	5	400000	Toronto Centre
CON	1.jpg	John Smith	500	2000	4500	8000	12000	15000	17000	18000
LIB	1.jpg	Mary Chen	300	1800	4200	9000	13500	16500	18500	19500
NDP	1.jpg	Alex Kim	100	400	900	1500	2000	2300	2500	2600
5	5	350000	Calgary West
CON	1.jpg	Robert Hale	200	3000	8000	15000	22000	28000	32000	35000
LIB	1.jpg	Priya Nair	100	800	1500	2200	2800	3200	3500	3700
NDP	1.jpg	Sam Osei	50	300	600	900	1100	1300	1400	1500
10	5	300000	Montreal East
NDP	1.jpg	Camille Roy	100	1000	3000	7000	12000	16000	19000	21000
LIB	1.jpg	Marc Tremblay	400	2500	6000	10000	13000	15000	16500	17500
CON	1.jpg	Denis Cote	50	200	400	600	800	900	1000	1050
15	5	250000	Vancouver South
LIB	1.jpg	Grace Wong	200	1500	3500	6000	8500	10500	12000	13000
CON	1.jpg	Michael Reyes	200	1450	3400	5900	8400	10450	11950	13050
NDP	1.jpg	Jordan Lee	50	300	600	900	1100	1250	1350	1400
20	5	280000	Halifax Harbour
GRN	1.jpg	Anna Fitzgerald	50	600	2000	5000	9000	13000	16000	18500
LIB	1.jpg	Thomas Doyle	300	2000	5000	9000	12500	15000	16800	17800
CON	1.jpg	Karen MacDonald	100	600	1200	1800	2200	2500	2700	2850
NDP	1.jpg	Liam Boudreau	50	250	500	750	950	1050	1150	1200
25	5	320000	Winnipeg North
CON	1.jpg	Derek Friesen	150	1500	4000	8000	12500	16000	18500	20000
NDP	1.jpg	Fatima Ahmed	200	1800	4500	8500	12000	14500	16000	17000
LIB	1.jpg	Steven Park	100	500	1000	1500	1900	2200	2400	2550
